SIN006-0001|almaariya thibichcha raththaran baduyi salliyi aragena gihin ithin ammatayi thaaththatayi baya n/adhdha mehe inna baya koLaBa 	vagea nemeyi mehe p/athivala horu nAa|almaariya thibichcha raththaran baduyi salliyi aragena gihin ithin ammatayi thaaththatayi baya n/adhdha mehe inna baya koLaBa 	vagea nemeyi mehe p/athivala horu nAa
SIN006-0002|mea dhavas vala apea geval p/aththe nugeagoda geval kihipayakatama horu p/analaa eka gedharaka maha dhavaalea ho)ru evith 	hitapu vayasaka amma kenek maralaa|mea dhavas vala apea geval p/aththe nugeagoda geval kihipayakatama horu p/analaa eka gedharaka maha dhavaalea ho)ru evith 	hitapu vayasaka amma kenek maralaa
SIN006-0003|genayaama sanndhahaa ho\n ahuraa th/abuvaaya raatha\R kAamaveala pisiimata udhav vemin malithi ammaath thaaththaath sama`ga kathaavehi 	yedhuNaaha |genayaama sanndhahaa ho\n ahuraa th/abuvaaya raatha\R kAamaveala pisiimata udhav vemin malithi ammaath thaaththaath sama`ga kathaavehi 	yedhuNaaha 
SIN006-0004|peara, aBa aadhii palathuruth polos gedi kihipayakuth vehesa mahansiyen saaththu kara th/anoo  o)ki\N aadhii p/ala kihipayakuth|peara, aBa aadhii palathuruth polos gedi kihipayakuth vehesa mahansiyen saaththu kara th/anoo  o)ki\N aadhii p/ala kihipayakuth
SIN006-0005|haaminea b/aliimata baala dhiyaNiya maalathii p/amiNiyaaya /aya supurudhu paridhi gevaththehi /avidhdhaaya nimaali /ayata gedhara genayaama 	sanndhahaa|haaminea b/aliimata baala dhiyaNiya maalathii p/amiNiyaaya /aya supurudhu paridhi gevaththehi /avidhdhaaya nimaali /ayata gedhara genayaama 	sanndhahaa
SIN006-0006|mea s/area sanath ayiyaa la\nkaavata aavama mama kiyala balannam maasa kihipayak ikuth vii giyeaya edhina leke isko)le 	mahaththayath |mea s/area sanath ayiyaa la\nkaavata aavama mama kiyala balannam maasa kihipayak ikuth vii giyeaya edhina leke isko)le 	mahaththayath 
SIN006-0007|dh/an mama avurudhu vissak h/adhuNe v/aduNe methanadhi mea loku iskole mahaththayayi haamineyi mata ammayi thaaththayi vagea 	honndhayi|dh/an mama avurudhu vissak h/adhuNe v/aduNe methanadhi mea loku iskole mahaththayayi haamineyi mata ammayi thaaththayi vagea 	honndhayi
SIN006-0008|mata mea idamen parchas pahak liyalaa dhenna kiyalaa mama mea g/ana loku haamineatath kivvaa mata nam mea gama /athh/arala 	yanna bAa|mata mea idamen parchas pahak liyalaa dhenna kiyalaa mama mea g/ana loku haamineatath kivvaa mata nam mea gama /athh/arala 	yanna bAa
SIN006-0009|raNaviira sitina aasanayehi tharamak Aathin voo aasanayehi vaadi voovaaya raNaviira mahaththayaa mea s/area sanath mahaththaya la\nkaavata 	aavama kiyanna|raNaviira sitina aasanayehi tharamak Aathin voo aasanayehi vaadi voovaaya raNaviira mahaththayaa mea s/area sanath mahaththaya la\nkaavata 	aavama kiyanna
SIN006-0010|magea jiivithea velaa thiyenne mea avata vaayuva allapu gevalvala inna ayath mata hari aadhareyi /aya sithivilivalin midhii |magea jiivithea velaa thiyenne mea avata vaayuva allapu gevalvala inna ayath mata hari aadhareyi /aya sithivilivalin midhii 
SIN006-0011|mallii g/anath ammaa g/anath sanndhahan kara nivasa pihiti isavva g/ana vimasuvaaya mea hoyannea siriseana venna  o)nAa|mallii g/anath ammaa g/anath sanndhahan kara nivasa pihiti isavva g/ana vimasuvaaya mea hoyannea siriseana venna  o)nAa
