SIN011-0001|pansala /asurukiriimen dh/anagathah/aki boho)dhea sihiyata nagaa ganimin dhamayanthi kathaa kalaaya|pansala /asurukiriimen dh/anagathah/aki boho)dhea sihiyata nagaa ganimin dhamayanthi kathaa kalaaya
SIN011-0002|eath gamea pansalata nithara gihin haamudhuruvan anndhunagena innakota hu`gak baNa dhaham dh/anaganna /ah/aki|eath gamea pansalata nithara gihin haamudhuruvan anndhunagena innakota hu`gak baNa dhaham dh/anaganna /ah/aki
SIN011-0003|ava\nkavama /aya badhudhahama iganiimata k/am/aththa dhakvana bava penuni mama kohoma hari dhaham poth tikak evannam|ava\nkavama /aya badhudhahama iganiimata k/am/aththa dhakvana bava penuni mama kohoma hari dhaham poth tikak evannam
SIN011-0004|/aya dh/aniima g/ana dhamayanthi thula vismayak /athi viya oya paara apea gedhara enakota mata dhaham poth tikak geanna|/aya dh/aniima g/ana dhamayanthi thula vismayak /athi viya oya paara apea gedhara enakota mata dhaham poth tikak geanna
SIN011-0005|na\ngi dh/an aagam dhekak g/ana honndhata dhannavaa mama mechchara kaalekata bayibalaya pituvak kiyavala nAa dh/annam eaka kiyavanna hithenavaa|na\ngi dh/an aagam dhekak g/ana honndhata dhannavaa mama mechchara kaalekata bayibalaya pituvak kiyavala nAa dh/annam eaka kiyavanna hithenavaa
SIN011-0006|pansaleadhii ea sanndhahaa gaaThaavak kiyavanavaa kasuni santhaapaya m/adagath somnasith yuthuva KNaathi saho)dhariya sama`ga kathaa kalaaya|pansaleadhii ea sanndhahaa gaaThaavak kiyavanavaa kasuni santhaapaya m/adagath somnasith yuthuva KNaathi saho)dhariya sama`ga kathaa kalaaya
SIN011-0007|ea dhavasvala svaamivarungea aasanayea dhakuNu p/aththea dhaNa gasaagena nodh/ana karana v/aradhi valata samaava illanavaa|ea dhavasvala svaamivarungea aasanayea dhakuNu p/aththea dhaNa gasaagena nodh/ana karana v/aradhi valata samaava illanavaa
SIN011-0008|pannaleadhi api gaaThaa kiyanavaa dheavasThaanayeadhii sthrothara kiyanavaa pansil rakinavaa vagea bayibalayea thiyena yahapath dhea sihiyea thabaagannavaa|pannaleadhi api gaaThaa kiyanavaa dheavasThaanayeadhii sthrothara kiyanavaa pansil rakinavaa vagea bayibalayea thiyena yahapath dhea sihiyea thabaagannavaa
SIN011-0009|paapaa cheathanaa valin Aath venna kiyalaa anek athata dhuksahitha aathmayen midhenna  o)na kaaraNaa g/ana|paapaa cheathanaa valin Aath venna kiyalaa anek athata dhuksahitha aathmayen midhenna  o)na kaaraNaa g/ana
SIN011-0010|loku thapthiyak labanavaa svaamivarungea dheashanaa valath budhun vahanseagea dheashanaa valath kiyavennea ekama dhea|loku thapthiyak labanavaa svaamivarungea dheashanaa valath budhun vahanseagea dheashanaa valath kiyavennea ekama dhea
SIN011-0011|kiyavamin siti navakaThaa potha GNaathi sohoyuriya athata dhii asala vu gasata heaththu vuvaa ya|kiyavamin siti navakaThaa potha GNaathi sohoyuriya athata dhii asala vu gasata heaththu vuvaa ya
SIN011-0012|ea unaata naththal sathiyea roopavaahiniyea jeasu samidhu g/ana parachaaraNaya karana kalaathmaka v/adasatahan aasaaven naraBalaa|ea unaata naththal sathiyea roopavaahiniyea jeasu samidhu g/ana parachaaraNaya karana kalaathmaka v/adasatahan aasaaven naraBalaa
SIN011-0013|passea mata thearum giyaa maa kalea v/aradhdhak kiyalaa in passea naththal uthsavayata mama kisi dhavasaka sudhaanam unea nAa|passea mata thearum giyaa maa kalea v/aradhdhak kiyalaa in passea naththal uthsavayata mama kisi dhavasaka sudhaanam unea nAa
SIN011-0014|dhamayanthi esea pavasaa jeasus vahansea shreaShTa uththamayek bava mallii amathaka kara katayuthu kiriima g/ana ohuta sithin dhos p/avaruvaaya|dhamayanthi esea pavasaa jeasus vahansea shreaShTa uththamayek bava mallii amathaka kara katayuthu kiriima g/ana ohuta sithin dhos p/avaruvaaya
SIN011-0015|eka eka vidhiyea ala\nkaara koodu hadhalaa budhun vahanseagea thema`gula uthsavaakaarayen samaranna  o)nea|eka eka vidhiyea ala\nkaara koodu hadhalaa budhun vahanseagea thema`gula uthsavaakaarayen samaranna  o)nea
SIN011-0016|kisiveku la`gapaatha /ath/ayi vatapita b/aloovaaya na\ngi dh/an ithin budhDhaagameanea ea nisaa vesak po)ya dhavasata|kisiveku la`gapaatha /ath/ayi vatapita b/aloovaaya na\ngi dh/an ithin budhDhaagameanea ea nisaa vesak po)ya dhavasata
SIN011-0017|iita passea tiken tika eaka amathaka kalaa Aa kisivekuta nop/avasu dheaval nAanaata p/avasiimata sidhuvu nisaa|iita passea tiken tika eaka amathaka kalaa Aa kisivekuta nop/avasu dheaval nAanaata p/avasiimata sidhuvu nisaa
SIN011-0018|vadhanaavath nodh/anunu dhukak /athi vunaa /anndhata gihin v/athirilaa kanndhuLua ivara venakan /annduvaa|vadhanaavath nodh/anunu dhukak /athi vunaa /anndhata gihin v/athirilaa kanndhuLua ivara venakan /annduvaa
SIN011-0019|naththal siiyaa keneketh hadhalaa measaya s/arasuvaa eath dhasun gedhara aavaa kiyalaa magea papuva paththu venavaa vagea dh/anunaa|naththal siiyaa keneketh hadhalaa measaya s/arasuvaa eath dhasun gedhara aavaa kiyalaa magea papuva paththu venavaa vagea dh/anunaa
SIN011-0020|eakea sellam badu ellalaa paata paata balb paththu kalaa puthath dhuvath aasaaven ea dhihaa balan hitiyaa|eakea sellam badu ellalaa paata paata balb paththu kalaa puthath dhuvath aasaaven ea dhihaa balan hitiyaa
SIN011-0021|mama h/ama naththlakatama gedhara giyaa eath ehema gedhara yanna b/arivuna naththalakadhii lassanata naththal gahak h/anndhuvaa|mama h/ama naththlakatama gedhara giyaa eath ehema gedhara yanna b/arivuna naththalakadhii lassanata naththal gahak h/anndhuvaa
SIN011-0022|mama gedhara v/adapala karana vitath thaalayata mumuNannea ea sindhu thamayi yevanayehi pasu vii kasunuth|mama gedhara v/adapala karana vitath thaalayata mumuNannea ea sindhu thamayi yevanayehi pasu vii kasunuth
SIN011-0023|/aththama kiyavaanam athiiThaya amathaka karana eka pahasuven karanna puLuavan dheyak nemeyi b/andhayin passe|/aththama kiyavaanam athiiThaya amathaka karana eka pahasuven karanna puLuavan dheyak nemeyi b/andhayin passe
SIN011-0024|/aya esea p/avasuvea thama nAanaa g/ana /athikaragath anukampaava saha kaNagaatuva yatapath karagenaya|/aya esea p/avasuvea thama nAanaa g/ana /athikaragath anukampaava saha kaNagaatuva yatapath karagenaya
SIN011-0025|na\ngi kohoma hari athiithaya amathaka karalaa thiyenavaa varthamaanaya sathutin jivath venna ehema karanna  o)nea |na\ngi kohoma hari athiithaya amathaka karalaa thiyenavaa varthamaanaya sathutin jivath venna ehema karanna  o)nea 
SIN011-0026|muNa kata ho)dhalaa /anndha La`ga dhaNa gahagena bayibalayea pituvak kiyavanavaa|muNa kata ho)dhalaa /anndha La`ga dhaNa gahagena bayibalayea pituvak kiyavanavaa
SIN011-0027|oya paara ammalaa apea dhihaa aavama eaka dhennayi hithan innea api ea dhavasvala h/amadhaama udheata|oya paara ammalaa apea dhihaa aavama eaka dhennayi hithan innea api ea dhavasvala h/amadhaama udheata
SIN011-0028|raththaran kurusayak ekka maalayak thibuNaa mama b/andhaayin passea eak galavalaa almaariyea aran thibbaa|raththaran kurusayak ekka maalayak thibuNaa mama b/andhaayin passea eak galavalaa almaariyea aran thibbaa
SIN011-0029|mata lassanata gaayanaa karanna puLuavan unoth palliyea giithikaa kaNdaayamea hitapu nisaa mama dhanna kaalea idhalama |mata lassanata gaayanaa karanna puLuavan unoth palliyea giithikaa kaNdaayamea hitapu nisaa mama dhanna kaalea idhalama 
SIN011-0030|aagamata enna  o)nea kiyalaa ithin iita passea Layin okkoma katho)lika unaa api pu\nchi kaalea idhalaa h/ama iridhaavakama dheavasThaaneta giyaa|aagamata enna  o)nea kiyalaa ithin iita passea Layin okkoma katho)lika unaa api pu\nchi kaalea idhalaa h/ama iridhaavakama dheavasThaaneta giyaa
SIN011-0031|ov thaaththagea pavulea kavuruth budhDhaagamea eath banndhinna kalin ammaa thaaththava porondhu karavaagena thiyanavaa|ov thaaththagea pavulea kavuruth budhDhaagamea eath banndhinna kalin ammaa thaaththava porondhu karavaagena thiyanavaa
SIN011-0032|na\ngigea thaath kasaanndha banndhinakota budhDhaagamea neadha ea nisaa api nikamata hithuvaa mallita oya budhDhaagamata haravaaganna eka pahasuveyi kiyalaa|na\ngigea thaath kasaanndha banndhinakota budhDhaagamea neadha ea nisaa api nikamata hithuvaa mallita oya budhDhaagamata haravaaganna eka pahasuveyi kiyalaa
SIN011-0033| ea piyathumaa venna /athi pansalea piyathumaa kiyannea mama hari k/amathiyi piyathumaagea sindhu valata| ea piyathumaa venna /athi pansalea piyathumaa kiyannea mama hari k/amathiyi piyathumaagea sindhu valata
SIN011-0034|pitu vala sanndhahan v/adhagath dhAa nith/athinma hadhavatha kimidhuna th/an amathaka kala noh/aki ya|pitu vala sanndhahan v/adhagath dhAa nith/athinma hadhavatha kimidhuna th/an amathaka kala noh/aki ya
SIN011-0035|kasuni upandhaa sitama karisthu dheavasThaanaya /asurehima h/adhii v/aduna nisaa jivitha pusThakayehi liyavuNu|kasuni upandhaa sitama karisthu dheavasThaanaya /asurehima h/adhii v/aduna nisaa jivitha pusThakayehi liyavuNu
SIN011-0036|siyam santhaapayak vihidhii yayi ea bava an ayata noh/agennata /aya vagapalaa ganimin katayuthu kalaaya|siyam santhaapayak vihidhii yayi ea bava an ayata noh/agennata /aya vagapalaa ganimin katayuthu kalaaya
SIN011-0037|bohovita /ayata katho)lika aagamata sambanDha yamak kiyavanuyea nith/athini evita /agea vathehi|bohovita /ayata katho)lika aagamata sambanDha yamak kiyavanuyea nith/athini evita /agea vathehi
