SIN014-0001|samahara p/alayaka hadhisiyea p/ana n/agunu malak dhutu vita ehi chamathkaarayen vashiikatha vemi|samahara p/alayaka hadhisiyea p/ana n/agunu malak dhutu vita ehi chamathkaarayen vashiikatha vemi
SIN014-0002|kisivak nokiyaa ivasaa sitiyemi mama vveaka kaalaya l/abunu hAama vitama ekin eka mal p/ala vala thathvaya vimasaa balami|kisivak nokiyaa ivasaa sitiyemi mama vveaka kaalaya l/abunu hAama vitama ekin eka mal p/ala vala thathvaya vimasaa balami
SIN014-0003|ea avasthaavea amaata saha amaraseanata ovungea adhahasa sambandhayen magea aparasaadhaya parakaasha kirimata avashava thibunadha|ea avasthaavea amaata saha amaraseanata ovungea adhahasa sambandhayen magea aparasaadhaya parakaasha kirimata avashava thibunadha
SIN014-0004|dhennea n/athiloo ithin nubata puloovan kamak thiyeanam sayuru mahaththayaa ekka yaaloo velaa no)naa k/amathi karavaa ganna ekayi /aththea|dhennea n/athiloo ithin nubata puloovan kamak thiyeanam sayuru mahaththayaa ekka yaaloo velaa no)naa k/amathi karavaa ganna ekayi /aththea
SIN014-0005|hari v/anndea thamayi maamea  mea s/area visheaSha upaadhiya karana avasaana avurudhdhea ayata vishva vidhyaalea bo)dima|hari v/anndea thamayi maamea  mea s/area visheaSha upaadhiya karana avasaana avurudhdhea ayata vishva vidhyaalea bo)dima
SIN014-0006|vishva vidhyaalea patan gaththaama, kohoma hari hitapu bo)dimata yannan/aththam  tikak dhurin vena th/anak hoyaaganna|vishva vidhyaalea patan gaththaama, kohoma hari hitapu bo)dimata yannan/aththam  tikak dhurin vena th/anak hoyaaganna
SIN014-0007|mathak karanna epaa mahaththayaa la\nkaavata aavoth no)naatath dhos kiyaavi anika mamath ea tharamma b/agAapath venna k/amathi n/ahAa|mathak karanna epaa mahaththayaa la\nkaavata aavoth no)naatath dhos kiyaavi anika mamath ea tharamma b/agAapath venna k/amathi n/ahAa
SIN014-0008|visharaama gath bAavin haa ohu paasalea dhii esea /amathiimata purudhuva siti bAavinyi maa sithimi hapo)|visharaama gath bAavin haa ohu paasalea dhii esea /amathiimata purudhuva siti bAavinyi maa sithimi hapo)
SIN014-0009|mis k/amathi karavaa ganna mata mis kiyaa /amathimata amal pelabii aththea maa kalak rajayea paasalaka uganvaa|mis k/amathi karavaa ganna mata mis kiyaa /amathimata amal pelabii aththea maa kalak rajayea paasalaka uganvaa
SIN014-0010|puvath pathak kiyavamin sitina vitaya maamea maamaata b/aridha mata thava avurudhdhak vithara nathara venna|puvath pathak kiyavamin sitina vitaya maamea maamaata b/aridha mata thava avurudhdhak vithara nathara venna
SIN014-0011|vihaara mahaa dheavii udhyaanayea p/avathi visithuru mal p/ala paradharshanaya n/arabiimata giyemi kalaka sita sitha /adhii giya adhahasak vuyea|vihaara mahaa dheavii udhyaanayea p/avathi visithuru mal p/ala paradharshanaya n/arabiimata giyemi kalaka sita sitha /adhii giya adhahasak vuyea
SIN014-0012|dhineka ovungea kathaa baha magea kana v/akunea kota biththiyata aavaranaya vu aalindhayea konaka idhagena|dhineka ovungea kathaa baha magea kana v/akunea kota biththiyata aavaranaya vu aalindhayea konaka idhagena
SIN014-0013|maamaa samaga gedhara dhorea thorathuru haa nAadhAa hithvathungea  thorathuru kathaa karanavaa mama dh/aka /aththemi|maamaa samaga gedhara dhorea thorathuru haa nAadhAa hithvathungea  thorathuru kathaa karanavaa mama dh/aka /aththemi
SIN014-0014|ohu amaraseana samaga kathaa bahata yannea kalaa thurakini hadhisiyea dhinaka s/adhAavata elimahanata vii|ohu amaraseana samaga kathaa bahata yannea kalaa thurakini hadhisiyea dhinaka s/adhAavata elimahanata vii
SIN014-0015|amal sayuru samaga kotharam kuloopaga vuyeadha yath, puthaa kAama measayata yannea amal k/adhavaa genaya|amal sayuru samaga kotharam kuloopaga vuyeadha yath, puthaa kAama measayata yannea amal k/adhavaa genaya
SIN014-0016|vishva vidhayaalaya patan gaththa gamanma aapahu hitapu bo)dimata yanna p/avasiimi dhemasak gevii giyeaya|vishva vidhayaalaya patan gaththa gamanma aapahu hitapu bo)dimata yanna p/avasiimi dhemasak gevii giyeaya
SIN014-0017|nithara amal amathaa ohu navathaa g/aniima thavakaalika bava mathak kara dhunimi oyaa mea navathvagaththea amaraseanata karana udhavuvak vashayen|nithara amal amathaa ohu navathaa g/aniima thavakaalika bava mathak kara dhunimi oyaa mea navathvagaththea amaraseanata karana udhavuvak vashayen
SIN014-0018|anavash\ya karadharayak lesa s/alakuvea in magea viveaka kaalaya adu vana bava dhannaa heyini ea nisaa mata|anavash\ya karadharayak lesa s/alakuvea in magea viveaka kaalaya adu vana bava dhannaa heyini ea nisaa mata
SIN014-0019|maa visin sayuruta pariganaka aDh\yaapanaya labaa dhii thibuni vAadipura ek ayekuta ho) thun vealama aahaara paanaadhiyen sangaraha kirima|maa visin sayuruta pariganaka aDh\yaapanaya labaa dhii thibuni vAadipura ek ayekuta ho) thun vealama aahaara paanaadhiyen sangaraha kirima
SIN014-0020|sayurugen igena gannaa bava mata h/agii giyeaya ea vana vita vishaya bhaahira dh/aniimak lesa|sayurugen igena gannaa bava mata h/agii giyeaya ea vana vita vishaya bhaahira dh/aniimak lesa
SIN014-0021|ohu boho) vita viveka avasthaavak balaa sayuru samaga pariganakayea /athi kaamarayata gos eya kariyaathmaka karana ayuru|ohu boho) vita viveka avasthaavak balaa sayuru samaga pariganakayea /athi kaamarayata gos eya kariyaathmaka karana ayuru
SIN014-0022|val pAalAatiyak lesa mata h/agii giyeaya thevana varatadha eyadha dh/amiimemi dhina kiipayakata pasu|val pAalAatiyak lesa mata h/agii giyeaya thevana varatadha eyadha dh/amiimemi dhina kiipayakata pasu
